strike,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho
130.0,0.0,0.01,0.0,0,1.29,86,0,130.0,0.1491,0.97553,0.00117,-0.02246,0.18872,2.85477
145.0,0.0,108.95,107.6,74,110.3,54,0,145.0,0.21038,-0.55541,0.01728,-0.04934,0.42943,-0.27971
145.0,0.0,108.95,107.6,74,110.3,54,0,145.0,0.2276,0.47628,0.00532,-0.03587,1.30927,1.63717
145.0,0.0,0.01,0.0,0,1.01,229,0,145.0,0.21038,-0.55541,0.01728,-0.04934,0.42943,-0.27971
145.0,0.0,0.01,0.0,0,1.01,229,0,145.0,0.2276,0.47628,0.00532,-0.03587,1.30927,1.63717
150.0,0.0,103.97,102.35,71,105.6,76,0,150.0,0.86127,-0.0015,0.00021,-0.01387,0.00129,-4e-05
150.0,0.0,0.01,0.0,0,0.73,83,0,150.0,0.86127,-0.0015,0.00021,-0.01387,0.00129,-4e-05
155.0,0.0,99.0,97.4,74,100.6,74,0,155.0,0.60778,0.00215,0.00042,-0.0137,0.0018,6e-05
155.0,0.0,0.01,0.0,0,1.14,85,0,155.0,0.60778,0.00215,0.00042,-0.0137,0.0018,6e-05
160.0,0.0,94.0,92.4,75,95.6,75,0,160.0,0.33339,-0.14786,0.00295,-0.02367,0.54164,-0.37963
160.0,0.0,0.01,0.0,0,1.3,86,0,160.0,0.33339,-0.14786,0.00295,-0.02367,0.54164,-0.37963
165.0,0.0,89.22,87.85,71,90.6,71,0,165.0,0.3561,-0.0827,0.0013,-0.01143,0.50116,-0.44305
165.0,0.0,0.01,0.0,0,1.14,86,0,165.0,0.3561,-0.0827,0.0013,-0.01143,0.50116,-0.44305
170.0,0.0,84.0,82.4,75,85.6,71,0,170.0,0.23492,0.07937,0.003,-0.0168,0.30964,0.12617
170.0,0.0,84.0,82.4,75,85.6,71,0,170.0,0.29986,-0.3726,0.00538,-0.02891,0.88759,-0.99046
170.0,0.0,0.01,0.0,0,1.25,87,0,170.0,0.23492,0.07937,0.003,-0.0168,0.30964,0.12617
170.0,0.0,0.01,0.0,0,1.25,87,0,170.0,0.29986,-0.3726,0.00538,-0.02891,0.88759,-0.99046
175.0,0.0,79.05,77.5,71,80.6,66,0,175.0,0.22028,-0.77789,0.0163,-0.04426,0.24689,-0.22936
175.0,0.0,0.01,0.0,0,1.3,87,0,175.0,0.22028,-0.77789,0.0163,-0.04426,0.24689,-0.22936
195.0,0.0,59.25,58.0,70,60.5,50,0,195.0,0.33263,-0.00051,3e-05,-0.00024,0.00377,-0.00095
195.0,0.0,0.01,0.0,0,1.24,88,0,195.0,0.33263,-0.00051,3e-05,-0.00024,0.00377,-0.00095
200.0,0.0,54.38,53.35,53,55.4,36,0,200.0,0.24757,-0.34724,0.03387,-0.17228,0.16265,-0.02733
200.0,0.0,54.38,53.35,53,55.4,36,0,200.0,0.29696,-0.482,0.00572,-0.02625,0.93476,-1.31382
200.0,0.0,0.01,0.0,0,1.15,86,0,200.0,0.24757,-0.34724,0.03387,-0.17228,0.16265,-0.02733
200.0,0.0,0.01,0.0,0,1.15,86,0,200.0,0.29696,-0.482,0.00572,-0.02625,0.93476,-1.31382
215.0,27.32,39.67,38.65,30,40.7,37,0,215.0,0.21205,0.05734,0.00654,-0.02759,0.09532,0.01509
215.0,27.32,39.67,38.65,30,40.7,37,0,215.0,0.28781,-0.31327,0.00738,-0.04317,0.59153,-0.39065
215.0,27.32,39.67,38.65,30,40.7,37,0,215.0,0.46418,-0.01722,0.00044,-0.00772,0.08931,-0.03451
215.0,0.0,0.64,0.02,442,1.26,507,0,215.0,0.21205,0.05734,0.00654,-0.02759,0.09532,0.01509
215.0,0.0,0.64,0.02,442,1.26,507,0,215.0,0.28781,-0.31327,0.00738,-0.04317,0.59153,-0.39065
215.0,0.0,0.64,0.02,442,1.26,507,0,215.0,0.46418,-0.01722,0.00044,-0.00772,0.08931,-0.03451
220.0,29.65,35.33,34.0,21,36.65,16,0,220.0,0.25382,0.61159,0.00905,-0.06728,0.63966,0.58029
220.0,29.65,35.33,34.0,21,36.65,16,0,220.0,0.33705,-0.13159,0.0027,-0.02235,0.50035,-0.33691
220.0,0.45,0.77,0.08,491,1.45,470,2,220.0,0.25382,0.61159,0.00905,-0.06728,0.63966,0.58029
220.0,0.45,0.77,0.08,491,1.45,470,2,220.0,0.33705,-0.13159,0.0027,-0.02235,0.50035,-0.33691
230.0,22.96,25.27,24.9,11,25.65,13,8,230.0,0.28964,-0.27585,0.00691,-0.04174,0.55778,-0.34231
230.0,0.83,0.84,0.72,45,0.96,13,3,230.0,0.28964,-0.27585,0.00691,-0.04174,0.55778,-0.34231
240.0,11.3,16.32,15.45,280,17.2,246,2,240.0,0.23812,0.29387,0.03284,-0.1728,0.15169,0.0219
240.0,11.3,16.32,15.45,280,17.2,246,2,240.0,0.2241,0.48576,0.03158,-0.15388,0.22461,0.05847
240.0,2.12,1.91,1.66,41,2.16,1,25,240.0,0.23812,0.29387,0.03284,-0.1728,0.15169,0.0219
240.0,2.12,1.91,1.66,41,2.16,1,25,240.0,0.2241,0.48576,0.03158,-0.15388,0.22461,0.05847
250.0,7.65,8.68,8.5,168,8.85,11,18,250.0,0.243,0.06408,0.0022,-0.01321,0.29411,0.12645
250.0,4.95,4.2,4.0,185,4.4,4,1,250.0,0.243,0.06408,0.0022,-0.01321,0.29411,0.12645
255.0,5.2,5.78,5.55,101,6.0,239,24,255.0,0.22669,0.52334,0.00534,-0.03678,1.30934,1.77971
255.0,9.1,6.2,6.0,186,6.4,11,2,255.0,0.22669,0.52334,0.00534,-0.03678,1.30934,1.77971
275.0,0.9,0.6,0.41,253,0.79,333,0,275.0,0.49909,-0.00034,1e-05,-0.00025,0.00257,-0.00065
